unique_post_id,content,stress,prescreen_score,prescreen_class_name
thread_14495712_starter,داداشم ۱۰ سالشه ۲ روز موند خونمون برای اولین بار کسی خونمون مونده بود شوهرم یه کلمه حرف نمیزد همش اخم میکرد انواع فوش ها رو بهم میداد پیش اون دعوام میکرد ازاین عمدتا نداره امروز اوردیمش حالم بده از شوهرم متنفرم  طفلی دادشم از ترس‌ دستش تو سفره نمی‌رفت میگف سیرم بگین چه رفتاری آنجا م بدم,6,5.900808574544499,Very High
339096124,"یبار با یه ژیلت یبار مصرف برند متفاوت شیو کردم از اون موفع بدبخت شدم
به مدت خوب بود دوباره شروع شد",2,3.199214104119164,Low
413965477,"بنظرم بیشتر به رفتار و عملش دقت کن تا گفته هاش چون گاهی این جور حرفا فقط بازی لب هاشونه و هیچ محتوا و منظوری پشتش نیست....
اما خود ما خانم ها وقتی بگیم برام عزیزی یعنی برام قابل احترام هستی و آدم خوب میبینیمت",1,3.188977042911574,Low
thread_18041515_starter,"کسی از نقشه کشی سردرمیاره بهم ایده بده؟
یه زمین داریم که ۱۱۰متر زیر بناش و بَر ۱۴متری داره و عمق تقریبا۱۳...
نمیدونم حیاط بغل درست کنیم یا پیلوت بدیم زیر خونه...
نور خونه خیلی کم میشه🥲",2,4.209951456534327,High
thread_17979520_starter,دلم نمیخاد طلاق بگیرم بدترین چیز دنیا اینه شوهرتو زندگیتو بخای شوهرت نخادت کسی که عاشقت بوده کلی خاطرات مسخره بازی عروسیپون چیکار کنم دارم دق میکنم مقصر همه چی منم شوهرم خیلی دوسم داشت آدم خیلی خوبی بود انقد بی محلی کردم بد دهنی کردم حرفای زشت زدم محبت نکردم آشپزی نکردم خیلی کارای بدی کردم ازم زده شد ۶ ماهه خونه پدرمم دارم التماس میکنم خودمو انداختم زمین پشیمونم میخام درست کنیم نمیخاد انداختم زمین پدر مادرمو خودمو پاشدم بعد ۶ ماه خودم رفتم خونم شهر دیگه گفت شب نیستم میبرمت فردا میام دنبالت قسم خورد منم باور کردم اومدم نیومد خستم خب قتل که نکردم پشیمونم بچگی کردم دوسش دارم مامانم اینا پاشدن دیروز رفتن پول دادن وکیل مهریه کارا رو کنه من نمیخام ۶ ماهه نزاشتم برن دیگه رفتن دیروز نتونستم جلوشونو بگیرم💔,7,6.058003127083794,Very High
408554508,آها من هفته هفتم میرم ششم تموم شد امروز معده خالی میشه کمی تهوع میگیره میگم چرا مثل بقیه نیستم فقط دلم هیچی نمیخاد,2,3.201836491412905,Moderate
thread_13119720_starter,سلام، خانها راه حلی برای کاهش و رفع بی‌حالی‌های اوایل بارداری وجود داره؟ یودوفولیک، پرگناکیر، کندور و یا چی ؟ همش خوابم میاد و بی حالم.,2,4.195979456009809,Moderate
411893671,واقعا نمیدونم من مشکلم خیلی حاده دو بار رفتم قرص گرفتم شوهرم اجازه نداد بخورم میگه باید با روانشناس حل بشه نه روانپزشک,5,3.191934775808477,Low
thread_14568401_starter,"من الان ۹ هفته هستم
تقریبا ۱۰ روزه گاهی لکه بینی و گاهی خونریزی دارم در حدی که باید حتما نوار بهداشتی بذارم
سونو گرافی هم رفتم دو بار تو این ۱۰ روز گفتن مشکلی نیست
با اینکه شیاف پروژسترون هم روزی ۲ بار میذارم چرا خونریزیم قطع نمیشه؟",4,6.044340886786813,Very High
thread_17986541_starter,"سلام من یک سال و نیمه که ازدواج کردم شوهرم اوایل خیلی خسیس بود و دست بزن داشت تابستون 2ماه و خورده ای خونه بابام بودم دیگ میخواستم جدابشم اومد التماس و که تغییر کردم و فلان الان ۶ماهه که برگشتم خداییش خیلی تغییر کرده خسیس بازی درنمیاره دعواهامپن از هروز رسیده به ماهی یکبار اونم تو دوران pms من که حوصلم کمه شوهرمم کاسبه درامد مغازمونم کمه ینی درامدی نداریم و فشار زیاد روشه بجای اینکه درکم کنه تو این تایم بیشتر میره رومخم و دعوا میکنه دوباره کتک میزنه ولی نه بشدت قبل
قبلا کتک میزد بیرونمم میکرد اگرم نمیرفتم باهام یکماه قهر میموند اما الان این اخلاقشو کنار گذاشته دیگ قهر نمیکنه دعوام میگنه خودش میاد اشتی و منت کشی ولی همش بهم توی دعوا فوشای بد میده خیلی حرفای بد میزنه ک همش تو ذهنم مرور میشه هرچقدرم باارامش چندبن بار بش گفتم اینکارو نکن گفته چشم بعد حین دعوا یادش میره الانم میخواستم نگا فیلم کنم گفتم کنترل روبدع من نگا کنم گفتش نه من دارم فیلم میبینم از اونجاییم که من از فیلم جنگی بدم میاد گفتم خب باشه میرم تو اتاق باگوشی میبینم بعد باعصبانیت میگ ک میمیری فردا تکرارشوببینی حالم خیلی بده همش تحقیزم میکنه یکم سیاست بمن یاد بدین چند شبع خیلی ازش سرد شدم",7,5.985078597819665,Very High
375660979,خیرنبینن من زدم هیچی نداد گفت باید پنج نفر بیاری,1,3.199356616063405,Low
412846864,"درک نمیکنم خانوم هایی ک میرن سرکار و از خونه زندگی و شوهر میزنن و یه هزاری هم کمک نمیکنن و از شوهر پول هم میگیرن
پس براچی ازدواج کردید
زندگی مشترک اسمش روشه",2,3.194942285153957,Low
296975563,بسلامتی، شب ها راحت میخوابی؟ من همش کلافه ام، شب سه چهاربار پا میشم، لباسمو در میارم دستشویی میرم…,4,3.201939081682212,Moderate
324240499,بله مصرف کردم حدود شش ماه و خود دکترم قطع کرد باید سبک زندگیتو تغییر بدی مثلا نباید بعد یازده شب بیدار بمونی  خودت باید حواستو ندی به گذشته و تنفس دیافراگمی روزی بیست دقیقه داشته باشی ویتامین اینا بخور چون قرص اعصاب عوارض داره و خود دکترت اگه خوب باشه باید بهت ویتامین بنوسیه جلو عوارض قرصا رو بگیره اتفاقا من اگه بگن چند سال واقعا زندگی کزدی همون شش ماهی بود که قرص میخوردم بشدت پر انرژی بودم,2,4.222807395310156,High
404072212,ای خدا بارداری چقدر دنگ و فنگ و استرس داره,5,3.207179172737405,Moderate
thread_16557934_starter,"همش درد پریودی داشتم الان دیگه ندارم.
قبلا خم میشدم کمردرد میگرفتم
اصلا احساس می کنم پرانرژی شدم 😥
ولی هنوز سینه هام درد می کنه لکه بینی هم ندارم
خیلی ترسیدم
روزهای پر استرسی سر کار داشتم.
دور از جون علائم سقط هست؟
نوبت دکترم فرداست! کسی اطلاعات داره؟",5,6.105452124495059,Very High
thread_12381492_starter,زندگیم تازه از یه بحران وحشتناک دراومده و حال منو شوهرم اصلا خوب نیس ولی من هی تراپی رفتم و بفکر خودم سعی کردم با سیاست باشم و زندگیمو جمع کنم شوهرم خیییلیی حسااسه و مشکلات زیادی داره ینی زندگی مشترکمون ب نابودی داشت میرفت بعد شوهرم راضی ب تراپی اومدن نبود و انگار من یه تنه داشتم تلاش میکردم ک خوبم نتیجه گرفته بودم همه چی داشت خوب پیش میرفت اون هرچی بد بود من خوب رفتار میکردم انقد تحمل کردم و خودداری کردم دم نزدم تا وقتی مادر شوهرم ی حرکتی کرد ک خیلییییی عصبانی شدم و انگار عین بمب منفجر شدم سر شوهرم بدو بیراه گفتم حرفاییی ک اصلا نبایدو زدم و شوهرم باز شد عین قدیم تلخ عصبی کم حرف سرد خسته شدم بخدا دیگه انگار حال ندارم مث قبل همش ادای حال خوبا رو دربیارم و هیچی ب روش نیارم چیکار کنم الانم با اشک می‌نویسم😭,7,6.002928442452685,Very High
409590379,عزیزم اینطور موردی دیدم طرف جدا شده ب همین دلیل شما بعد چن سال بعد اون قضیه هم ازدواج واسش اتفاق نیفتاده فقط خودشو از چشم اون پسر انداخته ک حتی اونم دیگ نرفت خاستگاریش,1,3.205752450641739,Moderate
412147954,"چیکار کردی به این زودی ترکوندیش😂😂😂😂
با عرض معذرت ...... کرده اگه کاری هس خودش بره دمو دستگاش برداره مگه الکیه
چه بدم میاد پرررو پرررو میگن ببند بکن بریز دور",3,3.194751895094669,Low
413963266,"من الان متاهل هستم ولی تنها.
دوست دارم وقتی جدا شدم دیگه تا آخر عمر تنها باشم. کلاس زده شدم از این چیزا.
چند تا دوست، خواهرام، بچه و حیوون خونگی برام کافیه.",3,3.205940929177814,Moderate
401341224,"نه فعلا دارو نداده بهم
آز گلوکز ندادم هنوز
شما قند داشتین ؟
خوشم نمیاد استرس اضافه میدن ب خانوما باردار",3,3.203061356169201,Moderate
thread_8704641_دخترباهوش2000_1401/03/02 09:36,یا امام رضا دو بار اومدم دو فاصله چهار ماه چرا عشقمو ندادی بهم؟چرا دوستم نداره؟😭😭😭,3,4.206098041147925,High
thread_6622308_منتظر_نی_نی۱۳۷۸_1400/03/16 15:15,"ان شاءالله
ولی فردا حتما میرم
هفته چندم تعیین جنسیت میشه؟؟؟؟",1,3.18712553331352,Low
thread_8548681_starter,"اعتیاد پیدا کرده چکار میکنید؟؟
کسی که فکرشم نمیکردید اصلا شوکه بشید ندونید چکار کنید دلتون بخواد بمیرید
یعنی یه زندگی آروم و عاشقانه داشته باشید بعد اینجوری شه 😔😔😔
چکار میکردید ؟؟
هرچی میگم قبول نمیکنه که اعتیاد داره ولی من پیام دوستشو دیدم که گفت سیگاری من جا مونده تو ماشینت حواست باشه",6,6.088897206442198,Very High
331602745,"منم بدون دارو داشتم توی تخمدان چپ بود تخمدان راست کیست داشتم
یه سوال تخمدانی که کیست داره نمیتونه تخمک ازاد کنه؟
البته کیست ساده بود",2,3.19489414038253,Low
thread_8147070_asalbanoosham_1400/11/25 13:28,من ۲۲ هفته حس کردم بچم هم توی سونوگرافی درشت بود,1,3.200400972067655,Moderate
383196685,"میدونی دوتا زایمان دیگم همه چی روبراه بود شکر خدا
این فسقلی 😍ناخواسته بود و پسرم الان 15 ماهشه و شوهرم میگفت سقط کن
من گفتم نه
حالا امروز دکتر سونوگرافی خیلی منو ترسوند،اگه جوری بشه تا مدتها باید نیش و کنایه گوش کنم😞خدا به خیر بگذرونه",3,4.225377043228946,High
thread_11457979_tamin1828_1402/04/11 10:55,"منم تا ۱۲ هفته همینجوری بودم.
به زور میرفتم سرکار و میومدم خونه بعدش همش خواااااب بودم.
بعد از ۱۲ هفته یهو انرژیم برگشت",2,3.194325177013525,Low
276974454,"همین راهو ادامه بده
و فقط از خانوادت فاصله بگیر
و تو بحثا و دعاهاتون شرکت نکن
اینطوری اعصابت راحت تره",1,3.194737972480652,Low
thread_11092987_starter,"سلام عزیزان خوبید؟ توصیه هاتون برای هفته هفتم بارداری چیه؟
کی باید برم سونوی قلب؟
خطر سقط خدایی نکرده کی رفع میشه؟",3,4.193506200848788,Moderate
382609083,کمردردی ک همراه درد پریودی باشه و با استراحت خوب نشه باید پیگیری بشه,1,3.196892380557792,Low
thread_18094265_starter,"١٢ هفته و ٦ روز بودم
اگر كسي بلده لطفا جنسيت رو بگه",1,3.198991371893328,Low
thread_18144589_starter,کسی میدونه برا csc حتما باید مدرک لیسانس رو آزاد کرد؟برا مهندسی دانشگاه دولتی,1,3.193241289980506,Low
thread_11509499_starter,خودتون زن داداشتون حامله بشه تا ۶ ماه نگه ناراحت نمیشین,2,3.187342555074792,Low
344961360,"در مورد دختر پسری چیزی نمیگم چون نظرم با شما کاملا مخالفه
سخت گفتی و تموم؟
پدرم داره در میاد
بچم انقد لجباز و شیطون هم هست که نگو ..فک کن در همین حین هم از پوشک گرفتمش..که هنوز هم کامل موفق نشدم
چهار پنج بار سخت مریض شد حتی الآنم مریضه..بد دارو.اصلا به هیچ روشی دارو نمیخوره بزور تو حلقش بریزیم بالا میاره  ...بعد من اصلا اهل ویار و اینا نبودم ...ویار کردم حالم از دستپخت خودم به هم میخورد ..هرچی میپختم یه قاشق دهنم میذاشتم حالم خراب میشد ...الان در وسط بازار شام زندگی میکنم انقد خونه زندگی شلوغه ....
دیگه با همه این شرایط ایشالا اول شهریور بدنیا میاد و بعدش میرم آیودی می‌ذارم و بچه تعطیل دیگه",6,4.203067408818242,High
thread_10302290_starter,۷ هفته باردارم ویارم به شوهرمه دلم میسوزه براش حتی بوسم میکنه ب شکمم دست میزنه میخوام همونجا بالا بیارم,1,4.201887966002232,High
thread_11200287_starter,"22 سالمه دو تا زایمان داشتم خیلی شکم و پهلو آوردم ، وزنمم ورفته رو 74
کلی اضافه وزن دارم ، با سویق لاغری نتیجه ای نگرفتم ، شما راهکار مطمئن ب جز باشگاه سراغ دارید ؟؟
تو رو خدا بگید
قدم ۱۶۳
وزن ۷۴ 😔😔😔",4,5.9501413404505,Very High
255812776,"سونو ان تی بیشتر مایع پشت گردن و تیغه بینی چک میشه
اما سونو انومالی بند به بند انگشتا و دانه به دانه اعضای داخلی مثل قلب و معده و مغز و مثانه کامل چک میشه
جفتش ضروری",1,3.199802350414757,Low
thread_14965665_starter,من دو هفته پیش سونو دادم 5 هفته و دو روز بودم کیسه زرده و ساک هم بود 2 هفته زمان دادن برای قلب جنین و جنین شنبه نوبت داشتم برم برای قلبش سونو بگیرم امروز یهو بعداز جارو برقی زدن حس کردم ترشح دارم رفتم سرویس دیدم شورتم خونی شده  رنگ قرمز بود خیلی ترسیدم رفتم بیمارستان گفتن باید سونو بگیری بیرون هم همی جا تعطیل بود امروز تا شنبه گفت برو خونه استراحت کن اگه لخته با خونریزی شدید داری بیا بیمارستان من خودم شیاف خریدم یدونه مقعدی زدم یکم شکمم درد میکنه و همچنان لکه بینی دارم الان چیکار کنم,6,5.99095277635206,Very High
thread_17840595_starter,چون توش بهرام افشاری میاد و دوباره اون کاربری که اسمشم یادم نیست بنده خدا بهرام افشاری رو خیلی دوست داشت همش دربارش تاپیک میزد دوباره میبینتش یادش میوفته دوباره کل سایت میشه بهرام افشاری و تاپیک هاش😂🤦🏻♀️,1,4.203946182952222,High
353431392,من ۱۱ هفته. من همسرم بیدارم می کنه قرصم رو می ده. من می خوابم. همسرم صبحانه حاضر می کنه منو بیدار می کنه. برای همین تهوع ندارم. اما آسپرین می خورم اونم شب یک ساعت حدودا قبل شام تهوع دارم.,1,4.195810975899804,Moderate
thread_18139240_starter,"میخواستم برم حموم خواستم به شوهرم خبر بدم زنگ زد نگران نشه جواب ندادم
پبام دوست دانشگاهم و شوهرم کنارهم بود به دوستم پیام دادم اشتباهی 🤦🏼♀️😂نوشتم عشقم من میرم حمومم
اونم فکر کرده بود ک منظورم این سر کلاس انلاین حواست بهم باشه و نکته ها رو به منم بگو
نوشته باشه تو برو من حواسم هست😂😂اونقدرا هم باهم راحت نیستیم اخه😂😂بعد دیگ گفتم اشتباهی پیام دادم اونم کلی خندید
حالا نگه دختره گیجه🥲😂 ابروم رفت",3,4.22377668952322,High
345878535,"من موضوع رو بزرگ نکردم اصلا این موضوع برای من مهم نیست
اما رفتارشون اصلا خوب نبود
من با ارامش جواب دادم ولی اخزشم اشکم دراومد باورت میشه؟
انقدر به من تیکه انداخت
که تو مثلا با این دوست بودی و حتما بقیه رو مجبور کردی ازدواج کنی",4,3.196692810624881,Low
thread_16455691_starter,"مامانم شیش ماهشه و دهانه رحمتش یخرده پاره شده احتمال سقط بجه ها هست دکتر بهش گفته نباید تکون بخوری چون خیلی خطرناکه بعد حداقل باید تا ۷ ماه نگه داره ولی بازم خطرناکه چون دوقلو ان الان قراره برن اهواز  نمیدونم جی بزارن از اهواز تا آبادان دو ساعت راهه
از دیشب تا حالا دارم قرآن میخونم
هر چند من هیچ نگرانی ندارم چون این اولین بار یه که به امام حسین رو زدم و مطمئنم روسیاهم نمیکنه خدا هم هست
دیشب که با گریه التماس خدا و امام حسین کردم اصن الان یه آرامش عجیبی دارم ولی مامانم خیلی نگرانه
چه سوره ایی برای سلامتی مامانم و بچه ها بخونم",5,5.947645002692298,Very High
407977929,امروز ک حتما باید سونو انجام بدم واقعا دو هفتس خواب و خوراک ندارم یعنی ممکنه دو هفته دیگه فرصت بدن بهم اگ تشکیل نشده بود؟,6,3.197427142058586,Low
thread_15342149_starter,"از ۴ هفتگی همش حالت تهوع و استفراغ
هیچی نمی تونم بخورم
قرص ب ۶ ام خوبم نمیکنه
فقط دو روز قرص ضد تهوع ماشین زدگی خوردم
اونم دو روز  اثر کرد
همه می گن قرصا ضرر دارن
دکترم گفت بود
ولی منم نمی تونم چیزی بخورم
بچه ام ضعیف میشه
خودمم نابود شدم
۱۳ هفتمه
از کی قرص بخورم 😭🥺",7,6.107321764611697,Very High
thread_15506959_starter,"لطفاً یکی راهنمایی ام کنه
19 روز بعد از تخمک گذاری بتام 55 بود امروز",2,3.207176300596984,Moderate
404521893,اوه تا دلت بخواد دیدم...زن عموی خودم ۳۸ سالگی بچه دار شد...اطرافم تا ۴۳ سالگی بچه آوردن...جدیداً یکی از فامیلا ۵۵ سالگی بچه دار شد.,1,3.200334664614275,Moderate
thread_14708515_starter,"دلم گرفته
کنکور دارم بابام مارو ول کرده رفته داداشمم ی عوضیه هفت خط قبلا دلم ب مادرم خوش بود الان اونم ذره ای اهمیت نمیده بهم
از صبح فقط ی لقمه نون و پنیر خوردم حالم داره از گرینگی بهم میخوره بهش هم چیزی بگی حتی جوابتو نمیده هیچ غذایی درست نمیکنه اگر هم بکنه انقدر از سر باز میکنه ک حالت بهم میخوره
هیچکاری نمیتونم بکنم حتی گریههه چون سردرد میشم بعدش نمیتونم درس بخونم خیلی خیلی تنهاممم اوج تفریحم اینه اخر شباک درسم تموم شد بغضنو بشکنم گریه کنم بلکه اروم بشم
لطفا شما با بچه هاتون اینجوری تا نکنید اونا هیچکس ندارن جز شنا ....
ی بار هپ بهم گف من مرده زنده هیچکس برام دیگ مهم نیس خیلی جدی بود توی درد دل داشت میگف",6,6.030098660853128,Very High
331432035,با ان تی نمیشه صبرکن ۴ ماهه که شد برو دقیقشو بهت میگن .البته علائم بارداری هم مشخص میکنه,1,3.203026604329352,Moderate
342272426,اره جدا هستن ناهمسانن از شما چی جدا هستن یا نه؟,1,3.187521402867787,Low
383263226,جدا؟میتونم بپرسم چطوری بود شرایطتون؟تاچندماهی اینطوری بودین؟من چون بچه اولمه تجربه ای ندارم همش نگرانم و استرس میگیرم,4,3.189448242323124,Low
thread_14391419_mahshar666_1403/06/09 03:30,نه اتفاقا توی خانواده و فامیلمون هیچکدوم فراموشی نداشتن پیگیری کردم بابت این،ولی با مورد اول حرفت موافقم اره خودمو خیلی درگیر اونا کردم درصورتی که اونا اصلا براشون مهم نیست نبایدم باشه ،بازم ممنونم دوست من😘😘,2,4.198820344670821,Moderate
thread_18141430_starter,"سوال دارم
سلام خوشگلا
میخوام برم کلاس زبان
دلم نمیخواد مختلط باشه احساس راحتی نمیکنم
واس شما چجوری بود؟
نی نی یار تورو خدا تایید کن لطفاااا",1,3.19548212769223,Low
381927186,"من برای خود هیپوموتیزم سعی کردم بدنم خواب کنم
اما نمیتونم
حالت خلسه وارد بشم",2,3.199216385362888,Low
413968293,"نه نمیرم😂
یکی دوبار رفتم یک طرفش کامل کوهه یک طرف هم مسکن مهره و پر خونه اینقدر ساختمون اونجاست ادم قاطی میکنه
میگم با گوشیم فیلم بگیرم بعدا پلی کنم تا یادم نره 😂",2,3.205408569710926,Moderate
410104694,درد هم دارین انسداد روده مشکل باروری؟,2,3.206217086297329,Moderate
378330536,دو هفته ای ی بار میتونم بیام چون بلیط ها گرونه 🥺,3,3.208637254587302,Moderate
thread_8716736_دکتر0فاطمه0زرین_1401/03/04 07:20,"منم افسردگی دارم
تا اوت میکنه همش بغص گلومو میگیره تمام مشکلاتم یادم میان.
اینقدر خسته میشم انگار یکی دوتا دستامو با طناب بست و زدم که اینقدر خسته و کوفته ام.اصلا نای انجام هیچ کاری رو ندارم
از طرفی از درون آروم و قرار ندارم دلم میخواد بزنم بیرون برم جایی که هیچ آشنایی نباشه
خسته ام میخوام بخوابم اما خوابم نمیبره
افسردگی خیلی بده خییییلی😢😢😢😢",5,5.896960321071674,High
320723237,کسی دستت ندیده که🥲🥲,1,3.191103611786993,Low
286855836,"منم مث تو دیوونم‌کرده بود
تا هفته ۱۶ صبر کردم
بعد رفتم عصب کشی کردن و پانسمان
بعد زایمان میرم واسه پر کردن
کشیدن هم گفتن مشکلی نداره
ولی باید واستی ۳ ماهت کامل بشه
از هفته ۱۵ ب بعو",2,4.207539578323122,High
thread_18071998_starter,"بچه ها من از طلاق خیلی میترسم نمیدونم چرااا
توروخدا کمکم کنید
ازدواج از اول با اصرار خانواده ها بود هر بار اذیتم میکردن از نظر اخلاقی خانوادش مثل دخالت و وسواس تمیزی و مستقل نبودن وابستگی مالی و عاطفی شدید
بار ها سعی کردم تموم کنم اطرافیان به نحوی گره زدن نذاشتن مخصوصا پدرم
من دختری ام ۳۲ساله خونه و ماشین لوکس یه درامد نرمالی دارم از طریق لیزر  یکم مغازه هم کار میکنم
کلا جایگاه اجتماعی خانوادم بالاست
قیافمم که همه میگن شبیه ترکایی و خوشگل و چشم رنگی هستی
اما من خیلی میترسم نمیتونم پیشش بخوابم  دارم عذاب میکشم هر کاری میکنم از طرفی بهش وابسته شدم از طرفی داره سنم بالا میره میترسم داغ بچه به دلم بمونه
با ده تا مشاور حرف زدم اما همشون میگن طلاق
همسرمم هر وقت میبینه من میخوام برم میشه بهترین مرد دنیا هر وقت مطمئن میشه هستم دوباره کار هاشو از سر میگره
من نمیخوام تنها بمونم خیلی میترسم چون میدونم من از هر مردی خوشم نمیاد😭نظرتون چیه؟؟بیشترین مشکلمم نداشتن جاذبه جنسی برام بود",7,6.023649634301819,Very High
thread_14528072_starter,"پدرمادرش با اینکه جوونن اما تا میبینن شوهرم سرگرم زندگی خودشه با کوچیک ترین بیماری خودشون رو بستری میکنن و از کاه کوه میسازن همش میگن ما خیلی عمرمون به این دنیا نیست همش از مرگ صحبت میکنن تا ترحم شوهرم رو بخرن و وقت و توجه بیشتری ازش بگیرن…
هربارم که این اتفاق میوفته زندگیه ما صحنه ی جنگ میشه چون کاملاااا توجهش صرف اونا میشه اصلا منو نمیبینه همش بهونه گیری میکنه دعوا راه میندازه…دو روزه از سرکارش مرخصی گرفته که با باباش بره باغشو ابیاری کنه،از سرکار میاد به من میگه خستم حال ندارم ولی سرویس خواهراش شده دائما میبره میاره…
با هر زبونی بهش میگم نمیفهمه
چیکار کنم درست شه دیگه واقعا خستم کرده
تا زندگیم میاد رنگ ارامش به خودش ببینه خونوادش نمیزارن از عمد هم اینکارو میکنن کاملا مشخصه یه حسادت نهفته دارن",6,6.047140340444457,Very High
413724266,"شب نمون خونه مادرشوهر
کارها در حد معمول کمک کن نه کوزت شو نه دستت بزار رو دستت
هیچوقت در مورد شوهرت با مادر شوهرت درد دل نکن
هر ماری هم بکنی آخرش مادرشوهرته، خیلی صمیمی نشو
اگه چیزی گفتن که بهت برخورد، سکوت نکن و عصبی هم نشو با احترام کامل جواب بده
در جریان کاراتم قرارشون نده",1,4.216683668850237,High
413276977,میدونی چون همسرتم نازتو میکشه بخاطر اونه من اوایل چند بار قهر شدید کردم بار آخر نامزدم توجهی نکرد خودم ول کردم😂,2,3.198306360027345,Low
400696003,"لعنت به پولی لعنتتتتتتت
بشر هر چی میکشه از بی پولیه",5,3.187979447351609,Low
thread_17705291_starter,"درود
بچه ها من امروز با چهار روز تاخیر و آزمایش با عدد بتای 10 و بی بی چکهای هاله دار خونریزی کردم فعلا ک کمه ولی با دردهای پریودی
دکتر بهم قرص لتروزول و آمپول داده برای تخمک از روز سوم پریود.خواستم بدونم آیا من باردارم و برم دوباره آز بدم یا نیستم و داروها رو شروع کنم؟
دوماه پیش کیست داشتم ک برطرف شد ذخیره تخدانمم پایینه هفت دهم. همسرم واریکوسل خفیف داره
با این اوصاف چ کنم",4,5.923610154728522,Very High
